feature,coefficient,odds_ratio
categorical__program_code_1_AS_ECPT,0.25554202437556367,1.2911612721240195
categorical__high_school_feeder_Feeder HS,0.25432362669521635,1.289589082195882
categorical__program_code_1_AS_UXDS,0.2523277993832128,1.2870178518037991
categorical__program_code_1_AA_JOUR,0.24517060824622394,1.277839304531501
categorical__program_code_1_AS_HVAC,0.24498447737582174,1.2776014813233214
categorical__program_code_1_AAT_PSYC,0.24206321393667815,1.2738747169067361
categorical__program_description_Psychology,0.24206321393667815,1.2738747169067361
categorical__program_code_1_CE_MKRS,0.24112881010472545,1.2726849594333678
categorical__program_description_Real Estate Salesperson,0.24112881010472545,1.2726849594333678
categorical__ethnicity_detail_Hispanic - Mexican,0.23470908311690009,1.2645408389375759
categorical__program_description_Journalism,0.23019936470202204,1.2588509553594216
categorical__program_code_1_AA_FTV,0.22960088158891448,1.2580977797246502
categorical__program_code_1_AAT_ECON,0.22907751348449298,1.2574395037498494
categorical__program_description_Economics,0.22907751348449298,1.2574395037498494
categorical__program_code_1_CN_WELD,0.2167315588535805,1.2420106506207949
categorical__age_category_35 to 39,0.21626878285865153,1.2414360108812355
categorical__program_description_Studio Arts,0.2136813625749872,1.238228046132049
categorical__program_code_1_AAT_ARTS,0.2136813625749872,1.238228046132049
categorical__program_code_1_AS_CULN,0.2129734902052101,1.2373518488652142
categorical__program_description_Culinology:Professional Levl 2,0.2129734902052101,1.2373518488652142
categorical__program_description_Fashion Merchandising,0.2128787392694611,1.2372346141738195
categorical__program_code_1_CT_HVAC,0.21045819078779268,1.2342434493971426
categorical__ethnicity_detail_Hispanic - South American,0.20644968117156448,1.229305875429304
categorical__program_code_1_CN_CSPR,0.19617579941455507,1.2167407888518122
categorical__ipeds_ethnicity_Unknown,0.19548805701521602,1.2159042723092326
categorical__program_description_EC: Preschool Teacher,0.192959416617371,1.212833571631428
categorical__program_description_Computer Science,0.19016176357924908,1.2094452260227198
categorical__ethnicity_detail_Asian - Other,0.17126215586927723,1.1868018353101775
categorical__program_code_1_AS_ENGR,0.16813316040506174,1.1830941414542473
categorical__program_description_Engineering,0.16813316040506174,1.1830941414542473
categorical__program_description_Accounting,0.16300534845788178,1.1770429850364623
categorical__program_code_1_AS_ARCH,0.1511522393599097,1.1631737254265913
categorical__program_description_Architecture,0.1511522393599097,1.1631737254265913
categorical__program_code_1_CE_MKAD,0.15101584833110185,1.1630150897839833
categorical__program_description_Marketing: Advertising,0.15101584833110185,1.1630150897839833
categorical__age_category_50 +,0.1497032291931845,1.1614894954006842
categorical__district_status_In-District,0.14601649404227532,1.1572152750510531
categorical__ethnicity_detail_Asian - Chinese,0.14348289377763201,1.1542870651470085
categorical__program_description_History,0.13457041190840685,1.1440452105730474
categorical__program_code_1_AAT_HIST,0.13457041190840685,1.1440452105730474
categorical__program_code_1_AAT_PHIL,0.13266112742219688,1.1418629867069812
categorical__program_description_Philosophy,0.13266112742219688,1.1418629867069812
categorical__program_code_1_AAT_ANTH,0.12529993244759405,1.1334883720296571
categorical__program_code_1_AA_MUS,0.12359926724753596,1.131562326044585
categorical__program_description_Mathematics,0.12297300329747317,1.1308538912092878
categorical__program_code_1_AST_MATH,0.12297300329747317,1.1308538912092878
categorical__program_description_Liberal Arts,0.11980853077435913,1.1272809912962514
categorical__program_code_1_AA_LIB,0.11980853077435913,1.1272809912962514
numeric__zipcode,0.11195955013614928,1.118467617867155
categorical__education_goal_AA Degree w/out Transfer,0.10671485101104158,1.1126169476438954
categorical__program_code_1_AS_CHEM,0.10523013601658868,1.110966254286465
categorical__program_description_Chemistry,0.10523013601658868,1.110966254286465
categorical__ipeds_ethnicity_Filipino,0.10188417923417561,1.1072552211533597
categorical__ethnicity_detail_Filipino,0.10188417923417561,1.1072552211533597
categorical__program_code_1_AST_BSAD,0.10152237840170424,1.106854687753616
categorical__program_code_1_AAT_THEA,0.10045783637295012,1.1056770213676765
categorical__program_description_Theatre,0.10045783637295012,1.1056770213676765
categorical__education_goal_Discover Career Interests/Goal,0.09991253415291154,1.1050742575924277
categorical__program_code_1_CT_FSDE,0.09520388253999802,1.09988307922353
categorical__program_description_DMAD: GraphicsDesign,0.09455025892767992,1.0991644045691085
categorical__program_code_1_AS_DMAG,0.09455025892767992,1.0991644045691085
categorical__program_code_1_AS_CTBP,0.0930228405616893,1.0974868021968183
categorical__education_goal_4 yr college student meet 4 yr,0.09113303579565198,1.0954147249347845
categorical__program_code_1_AS_IDA,0.08984644159914307,1.0940062769517
categorical__program_description_Interior Design:Assistnt Lvl 2,0.08984644159914307,1.0940062769517
categorical__program_code_1_AS_IBUS,0.08790411177910955,1.0918834182499524
categorical__program_description_Geology,0.08757280473114992,1.091521729496261
categorical__program_code_1_AST_GEOL,0.08757280473114992,1.091521729496261
categorical__program_description_Dental Assisting: Registered,0.08738218593473009,1.091313684767166
categorical__program_code_1_CT_MACE,0.08717458354093227,1.0910871489493268
numeric__disability,0.0693881857927922,1.0718522061994695
categorical__program_code_1_CE_BAFN,0.06910812725729833,1.0715520668705876
categorical__program_description_Business Administratn Finance,0.06910812725729833,1.0715520668705876
categorical__program_description_Nutrition and Dietetics,0.0666365432789873,1.0689069061651408
categorical__program_code_1_AS_SLPA,0.06601436924032576,1.0682420668826964
categorical__program_description_Speech-Lang Pathology Assist,0.06601436924032576,1.0682420668826964
categorical__program_code_1_CE_EMS,0.0636485090802022,1.0657177428116147
categorical__program_description_Emergency Medical Services,0.0636485090802022,1.0657177428116147
categorical__program_code_1_AST_BIOL,0.05556456322256933,1.0571372670578392
categorical__district_status_Out-of-District,0.05469983579103412,1.0562235265892779
categorical__gender_N,0.05367717666650133,1.0551439220900516
categorical__program_code_1_AS_AVSC,0.04830600950544311,1.0494917606459664
categorical__program_description_Music,0.047766571625136325,1.0489257777052476
categorical__program_description_Anthropology,0.04557161712007737,1.0466259582668636
numeric__athlete,0.044961069384783434,1.0459871381932628
categorical__program_description_Advanced Baking & Pastry,0.042625456718548074,1.0435469681398997
categorical__program_code_1_AS_ABP,0.042625456718548074,1.0435469681398997
categorical__program_description_Medical Assisting:CMA Eligible,0.0391414826217039,1.0399176035113613
categorical__program_code_1_AS_CIST,0.0378962049878101,1.0386234233526614
categorical__ethnicity_detail_Asian - Indian,0.032122602229596356,1.032644102013727
categorical__program_code_1_CT_BSAD,0.03187401992586705,1.0323874368664443
categorical__ipeds_ethnicity_White,0.029852953710836287,1.0303030205781598
categorical__gender_B,0.02775351404330907,1.028142230564985
categorical__program_description_UX Design,0.02689150345358396,1.0272563429516022
categorical__program_description_Const Tech: Master Specialist,0.0244835114043973,1.024785693691009
categorical__ethnicity_detail_Hispanic - Other,0.020072390991224452,1.0202751960862333
categorical__program_description_Flight Attend/Airline/Travel,0.018202376330883136,1.018369049328636
categorical__program_description_English,0.01667973656918412,1.0168196200327253
categorical__program_code_1_AAT_CMST,0.015686013869653747,1.015809685175675
categorical__program_description_Communication Studies,0.015686013869653747,1.015809685175675
categorical__program_code_1_AST_ECE,0.01444201072052684,1.0145468004075813
categorical__program_description_Early Childhood Education,0.01444201072052684,1.0145468004075813
categorical__ethnicity_detail_Asian,0.014066572021047769,1.0141659717696532
categorical__program_description_Natural Science,0.01403960178182971,1.0141386198396334
categorical__program_code_1_AS_NS,0.01403960178182971,1.0141386198396334
categorical__age_category_30 to 34,0.0035795493707743565,1.0035859636087001
categorical__program_description_Business Administration,0.0033903505656019757,1.0033961043046407
categorical__program_code_1_AS_CAAV,-0.0025156300000412613,0.9974875315454588
numeric__veteran,-0.0028520632790627162,0.9971519999895935
categorical__program_code_1_AS_CSPR,-0.0060140358353051,0.9940040122794142
categorical__program_description_Horticulture,-0.012056565605201134,0.9880158235682311
categorical__program_code_1_AS_OH,-0.012056565605201134,0.9880158235682311
categorical__program_code_1_AAT_JOUR,-0.014971243544201984,0.985140268338325
categorical__program_description_Environmental Resource Mgmt,-0.017444404873799037,0.9827068678587544
categorical__program_code_1_CE_ERM,-0.017444404873799037,0.9827068678587544
categorical__program_code_1_CT_CULN,-0.017762981458636095,0.9823938503235721
categorical__program_description_Culinary/Food Sci Asst Level 1,-0.017762981458636095,0.9823938503235721
categorical__program_code_1_CE_LSCP,-0.028655192460597414,0.9717514739410298
categorical__program_description_Landscape Site Design,-0.028655192460597414,0.9717514739410298
categorical__program_description_Const Tech: Construction Tech,-0.029645151430982255,0.9707899558626661
categorical__program_code_1_AS_ECAD,-0.030337942859631567,0.970117633818591
categorical__program_code_1_CE_CARP,-0.03086068949955599,0.9696106406112239
categorical__program_description_Carpentry,-0.03086068949955599,0.9696106406112239
categorical__gender_F,-0.03111469632215441,0.9693643841699767
categorical__bog_eligible_Yes,-0.033052827040575786,0.9674874487403153
categorical__ethnicity_detail_Pacific Islander - Hawaiian,-0.037012518474068085,0.9636640716698527
categorical__program_code_1_AS_ARCD,-0.039163892179245596,0.961593098642671
